Trial name	epochs	loss	max accuracy	test accuracy	val accuracy
train_model_raytune_056a6_00085	19	5.50025	0.761445	0.773779	0.761445
train_model_raytune_056a6_00086	29	5.12719	0.779488	0.793793	0.779057
train_model_raytune_056a6_00087	19	5.49649	0.764082	0.784745	0.762308
train_model_raytune_056a6_00088	9	5.79829	0.744027	0.750592	0.744027
train_model_raytune_056a6_00089	19	5.53378	0.762833	0.770196	0.762833
train_model_raytune_056a6_00090	29	5.1488	0.779279	0.78636	0.779279
train_model_raytune_056a6_00091	9	5.68047	0.753861	0.762632	0.753861
train_model_raytune_056a6_00092	9	5.8512	0.745338	0.746	0.745338
train_model_raytune_056a6_00093	19	5.48713	0.762779	0.776806	0.76191
train_model_raytune_056a6_00094	9	5.72969	0.753152	0.76145	0.753152
train_model_raytune_056a6_00095	9	5.79944	0.746898	0.74887	0.746898
train_model_raytune_056a6_00096	9	6.02653	0.736775	0.734825	0.736775
train_model_raytune_056a6_00097	29	5.29298	0.77146	0.78133	0.77146
train_model_raytune_056a6_00098	29	5.28528	0.772894	0.78733	0.77262
train_model_raytune_056a6_00099	29	5.2288	0.774632	0.784284	0.774632
train_model_raytune_056a6_00100	19	5.39855	0.767749	0.764121	0.767749
train_model_raytune_056a6_00101	19	5.49495	0.762899	0.769696	0.761661
train_model_raytune_056a6_00102	9	5.70356	0.749045	0.75768	0.749045
train_model_raytune_056a6_00103	9	5.948	0.741517	0.750351	0.741517
train_model_raytune_056a6_00104	19	5.44608	0.765364	0.767311	0.765364
train_model_raytune_056a6_00105	19	5.5719	0.761445	0.777831	0.758763
train_model_raytune_056a6_00106	29	5.15839	0.778277	0.78699	0.777964
train_model_raytune_056a6_00107	9	7.45055	0.623149	0.616637	0.623149
train_model_raytune_056a6_00108	9	5.71063	0.754083	0.757626	0.754083
train_model_raytune_056a6_00109	9	5.95226	0.74334	0.741195	0.74334
train_model_raytune_056a6_00110	9	6.14578	0.727446	0.727654	0.727446
train_model_raytune_056a6_00111	9	6.0723	0.73195	0.735116	0.731747
train_model_raytune_056a6_00112	29	5.21647	0.774107	0.773269	0.774107
train_model_raytune_056a6_00113	9	5.68926	0.751847	0.749592	0.751847
train_model_raytune_056a6_00114	9	6.80342	0.692823	0.689026	0.692823
train_model_raytune_056a6_00115	19	5.48476	0.761284	0.784553	0.761284
train_model_raytune_056a6_00116	9	5.67506	0.751891	0.753586	0.751891
train_model_raytune_056a6_00117	19	5.38099	0.766967	0.77233	0.766949
train_model_raytune_056a6_00118	19	5.40425	0.767654	0.769312	0.766557
train_model_raytune_056a6_00119	19	5.41335	0.766003	0.780671	0.766003
train_model_raytune_056a6_00120	29	5.25051	0.771975	0.789926	0.771975
train_model_raytune_056a6_00121	9	6.03957	0.734367	0.727697	0.734367
train_model_raytune_056a6_00122	19	5.44758	0.763922	0.765611	0.763922
train_model_raytune_056a6_00123	9	5.71122	0.752561	0.761727	0.752561
train_model_raytune_056a6_00124	29	5.16555	0.776445	0.77849	0.776343
train_model_raytune_056a6_00125	9	5.82139	0.74685	0.746301	0.74685
train_model_raytune_056a6_00126	29	5.20097	0.774236	0.783193	0.774236
train_model_raytune_056a6_00127	29	5.37225	0.769089	0.773681	0.768693
train_model_raytune_056a6_00128	29	5.33868	0.770154	0.784758	0.769668
train_model_raytune_056a6_00129	19	5.65064	0.764242	0.785251	0.757139
train_model_raytune_056a6_00130	9	5.99472	0.737573	0.741465	0.737573
train_model_raytune_056a6_00131	19	5.36337	0.76665	0.768597	0.76665
train_model_raytune_056a6_00132	19	5.39817	0.767052	0.767754	0.767052
train_model_raytune_056a6_00133	9	6.01553	0.739735	0.746488	0.733375
train_model_raytune_056a6_00134	19	5.45724	0.766183	0.773905	0.766183
train_model_raytune_056a6_00135	9	5.77054	0.747933	0.751257	0.747933
train_model_raytune_056a6_00136	19	5.39949	0.766548	0.772138	0.766548
train_model_raytune_056a6_00137	9	5.747	0.749489	0.750097	0.749489
train_model_raytune_056a6_00138	29	5.35446	0.771025	0.770721	0.769457
train_model_raytune_056a6_00139	9	5.79998	0.74896	0.752332	0.74896
