Trial name	epochs	loss	max accuracy	test accuracy	val accuracy
train_model_raytune_056a6_00373	29	5.14289	0.777053	0.778145	0.777053
train_model_raytune_056a6_00374	9	5.65566	0.752042	0.764298	0.752042
train_model_raytune_056a6_00375	9	12.0281	0.441804	0.441216	0.441804
train_model_raytune_056a6_00376	9	6.0244	0.734476	0.728952	0.734476
train_model_raytune_056a6_00377	9	6.01794	0.735014	0.735066	0.734398
train_model_raytune_056a6_00378	19	5.45359	0.766862	0.785302	0.76408
train_model_raytune_056a6_00379	9	6.43216	0.71578	0.719951	0.71578
train_model_raytune_056a6_00380	19	5.45133	0.763939	0.775137	0.763352
train_model_raytune_056a6_00381	19	5.53023	0.760962	0.7691	0.76096
train_model_raytune_056a6_00382	9	5.74593	0.74862	0.765925	0.74862
train_model_raytune_056a6_00383	29	5.25053	0.77395	0.781316	0.77395
train_model_raytune_056a6_00384	9	6.86576	0.694956	0.622064	0.694956
train_model_raytune_056a6_00385	19	5.57471	0.760387	0.77406	0.757641
train_model_raytune_056a6_00386	29	5.23393	0.775178	0.784303	0.773977
train_model_raytune_056a6_00387	29	5.56521	0.771647	0.763322	0.75583
train_model_raytune_056a6_00388	9	5.98785	0.741581	0.74047	0.741581
train_model_raytune_056a6_00389	9	6.16452	0.733769	0.734427	0.733769
train_model_raytune_056a6_00390	29	4.9754	0.785135	0.79236	0.785135
train_model_raytune_056a6_00391	9	7.46992	0.637464	0.616252	0.637464
train_model_raytune_056a6_00392	9	5.76651	0.746626	0.764825	0.746626
train_model_raytune_056a6_00393	19	5.43007	0.766212	0.772437	0.766212
train_model_raytune_056a6_00394	19	5.44733	0.76151	0.773736	0.76151
train_model_raytune_056a6_00395	9	6.08065	0.742035	0.734908	0.742035
train_model_raytune_056a6_00396	9	5.63337	0.752322	0.76595	0.752322
train_model_raytune_056a6_00397	19	5.48195	0.765409	0.77662	0.759591
train_model_raytune_056a6_00398	19	5.44452	0.767146	0.780057	0.763599
train_model_raytune_056a6_00399	9	5.83524	0.748344	0.743877	0.748344
